,lat,lon,country_code
121,-172.15260222554207,-13.81835945835337,WS
122,-172.15473005501553,-13.819442064501345,WS
123,-172.15628456277773,-13.824086477514356,WS
124,-172.15579874813557,-13.827780549880117,WS
125,-172.15229209512472,-13.829556674696505,WS
126,-67.73556105792522,-10.712184888776392,BR
127,-67.72857289714739,-10.71321485703811,BR
128,-67.72717529861256,-10.70823667710647,BR
129,-67.72560302121565,-10.706863386090845,BR
130,-67.72053666366264,-10.711326580960304,BR
131,-67.71191906090826,-10.708065015263855,BR
132,-67.70776700181887,-10.708448738791049,BR
133,-67.7062684847042,-10.70119856018573,BR
134,-67.69974719686434,-10.70222852844745,BR
135,-67.68650848371908,-10.688152295537293,BR
136,-67.67620226275176,-10.6445503057912,BR
137,-67.67375675914809,-10.628929120488465,BR
